timestamp,mode,ldr,light,voltage,current,power,fault,fault_name,pwm
1011,NIGHT,10,0,11.56,0.218,2.522,0,NORMAL,255
2021,NIGHT,11,1,11.44,0.274,3.13,0,NORMAL,255
3031,NIGHT,10,0,11.88,0.231,2.748,0,NORMAL,255
4040,NIGHT,9,0,11.83,0.266,3.143,0,NORMAL,255
5050,NIGHT,10,0,11.61,0.245,2.839,0,NORMAL,255
6060,NIGHT,9,0,11.78,0.242,2.85,0,NORMAL,255
7069,NIGHT,11,1,11.88,0.247,2.937,0,NORMAL,255
8079,NIGHT,10,0,11.83,0.242,2.862,0,NORMAL,255
9088,NIGHT,10,0,11.46,0.26,2.985,0,NORMAL,255
10097,NIGHT,9,0,11.83,0.239,2.831,0,NORMAL,255
11107,NIGHT,7,0,11.88,0.242,2.874,0,NORMAL,255
12116,NIGHT,10,0,11.88,0.258,3.062,0,NORMAL,255
13126,NIGHT,11,1,11.8,0.26,3.074,0,NORMAL,255
14136,NIGHT,11,1,11.53,0.268,3.096,0,NORMAL,255
15145,NIGHT,8,0,11.83,0.263,3.112,0,NORMAL,255
16155,NIGHT,11,1,11.53,0.234,2.7,0,NORMAL,255
17165,NIGHT,11,1,11.85,0.26,3.087,0,NORMAL,255
18174,NIGHT,9,0,11.78,0.255,3.006,0,NORMAL,255
19184,NIGHT,10,0,11.85,0.229,2.711,0,NORMAL,255
20194,NIGHT,7,0,11.61,0.245,2.839,0,NORMAL,255
21203,NIGHT,11,1,11.73,0.25,2.931,0,NORMAL,255
22213,NIGHT,9,0,11.75,0.25,2.937,0,NORMAL,255
23223,NIGHT,10,0,11.83,0.221,2.612,0,NORMAL,255
24232,NIGHT,11,1,11.8,0.253,2.981,0,NORMAL,255
25242,NIGHT,11,1,11.46,0.253,2.894,0,NORMAL,255
26252,NIGHT,8,0,11.8,0.239,2.825,0,NORMAL,255
27261,NIGHT,8,0,11.83,0.274,3.237,0,NORMAL,255
28271,NIGHT,12,1,11.83,0.263,3.112,0,NORMAL,255
29281,NIGHT,11,1,11.63,0.239,2.784,0,NORMAL,255
30290,NIGHT,10,0,11.88,0.242,2.874,0,NORMAL,255
31300,NIGHT,9,0,11.73,0.239,2.807,0,NORMAL,255
32310,NIGHT,11,1,11.83,0.282,3.331,0,NORMAL,255
33319,NIGHT,11,1,11.83,0.237,2.799,0,NORMAL,255
34329,NIGHT,11,1,11.8,0.258,3.043,0,NORMAL,255
35339,NIGHT,11,1,11.61,0.26,3.023,0,NORMAL,255
36348,NIGHT,8,0,11.51,0.26,2.998,0,NORMAL,255
37358,NIGHT,11,1,11.68,0.237,2.765,0,NORMAL,255
38368,NIGHT,10,0,11.58,0.234,2.711,0,NORMAL,255
39377,NIGHT,10,0,11.85,0.239,2.837,0,NORMAL,255
40387,NIGHT,11,1,11.61,0.247,2.87,0,NORMAL,255
41397,NIGHT,10,0,11.88,0.253,2.999,0,NORMAL,255
42406,NIGHT,10,0,11.8,0.239,2.825,0,NORMAL,255
43416,NIGHT,9,0,11.68,0.268,3.135,0,NORMAL,255
44426,NIGHT,9,0,11.49,0.231,2.658,0,NORMAL,255
45435,NIGHT,5,0,11.61,0.266,3.085,0,NORMAL,255
46445,NIGHT,3,0,11.78,0.247,2.912,0,NORMAL,255
47455,NIGHT,6,0,11.71,0.276,3.234,0,NORMAL,255
48464,NIGHT,7,0,11.83,0.282,3.331,0,NORMAL,255
49474,NIGHT,6,0,11.8,0.239,2.825,0,NORMAL,255
50484,NIGHT,5,0,11.63,0.284,3.306,0,NORMAL,255
51493,NIGHT,6,0,11.63,0.268,3.122,0,NORMAL,255
52503,NIGHT,4,0,11.63,0.29,3.368,0,NORMAL,255
53513,NIGHT,7,0,11.56,0.16,1.85,0,NORMAL,255
54522,NIGHT,10,0,11.51,0.247,2.846,0,NORMAL,255
55532,NIGHT,11,1,11.58,0.274,3.17,0,NORMAL,255
56541,NIGHT,8,0,11.85,0.218,2.586,0,NORMAL,255
57550,NIGHT,10,0,11.68,0.239,2.796,0,NORMAL,255
58560,NIGHT,8,0,11.8,0.223,2.638,0,NORMAL,255
59570,NIGHT,10,0,11.66,0.242,2.821,0,NORMAL,255
60579,NIGHT,11,1,11.85,0.247,2.93,0,NORMAL,255
61589,NIGHT,10,0,11.75,0.266,3.124,0,NORMAL,255
62599,NIGHT,11,1,11.75,0.25,2.937,0,NORMAL,255
