device_id,timestep,ldr,light_intensity,voltage,current,power,mode,fault_name,pwm
streetlight-node-01,81,180,0,10.72,0.781,8.645,0.0,NORMAL,255
streetlight-node-01,163,188,0,10.97,0.712,8.076,0.0,NORMAL,255
streetlight-node-01,245,191,0,11.49,0.704,8.003,0.0,NORMAL,255
streetlight-node-01,327,190,0,11.05,0.715,8.019,0.0,NORMAL,255
streetlight-node-01,409,191,0,11.07,0.794,8.869,0.0,NORMAL,255
streetlight-node-01,491,197,0,11.92,0.707,8.085,0.0,NORMAL,255
streetlight-node-01,573,195,0,10.97,0.739,8.285,0.0,NORMAL,255
streetlight-node-01,655,194,0,11.13,0.715,8.141,0.0,NORMAL,255
streetlight-node-01,737,196,0,11.55,0.725,8.19,0.0,NORMAL,255
streetlight-node-01,819,196,0,11.33,0.712,8.059,0.0,NORMAL,255
streetlight-node-01,901,196,0,11.67,0.699,7.96,0.0,NORMAL,255
streetlight-node-01,983,197,0,11.24,0.71,8.081,0.0,NORMAL,255
streetlight-node-01,1065,197,0,11.31,0.718,7.961,0.0,NORMAL,255
streetlight-node-01,1147,197,0,11.2,0.744,8.436,0.0,NORMAL,255
streetlight-node-01,1229,197,0,11.45,0.736,8.346,0.0,NORMAL,255
streetlight-node-01,1311,197,0,11.22,0.733,8.37,0.0,NORMAL,255
streetlight-node-01,1393,197,0,10.9,0.696,7.93,0.0,NORMAL,255
streetlight-node-01,1475,196,0,10.89,0.736,8.328,0.0,NORMAL,255
streetlight-node-01,1557,196,0,11.29,0.741,8.424,0.0,NORMAL,255
streetlight-node-01,1639,195,0,11.75,0.784,8.885,0.0,NORMAL,255
streetlight-node-01,1721,195,0,10.98,0.786,8.838,0.0,NORMAL,255
streetlight-node-01,1803,194,0,10.79,0.765,8.507,0.0,NORMAL,255
streetlight-node-01,1885,195,0,10.91,0.755,8.408,0.0,NORMAL,255
streetlight-node-01,1967,195,0,11.05,0.752,8.507,0.0,NORMAL,255
streetlight-node-01,2049,195,0,11.69,0.741,8.351,0.0,NORMAL,255
streetlight-node-01,2131,196,0,11.42,0.712,8.128,0.0,NORMAL,255
streetlight-node-01,2213,196,0,11.61,0.739,8.285,0.0,NORMAL,255
streetlight-node-01,2295,196,0,11.64,0.741,8.333,0.0,NORMAL,255
streetlight-node-01,2377,196,0,10.94,0.704,8.021,0.0,NORMAL,255
streetlight-node-01,2459,195,0,11.84,0.733,8.37,0.0,NORMAL,255
streetlight-node-01,2541,187,0,11.49,0.744,8.381,0.0,NORMAL,255
streetlight-node-01,2623,182,0,11.81,0.736,8.382,0.0,NORMAL,255
streetlight-node-01,2705,185,0,11.04,0.736,8.4,0.0,NORMAL,255
streetlight-node-01,2787,195,0,10.98,0.728,8.202,0.0,NORMAL,255
streetlight-node-01,2869,199,0,11.5,0.712,7.919,0.0,NORMAL,255
streetlight-node-01,2951,199,0,11.61,0.723,8.037,0.0,NORMAL,255
streetlight-node-01,3033,200,0,11.14,0.704,8.021,0.0,NORMAL,255
streetlight-node-01,3115,200,0,11.57,0.725,8.084,0.0,NORMAL,255
streetlight-node-01,3197,200,0,11.24,0.72,8.184,0.0,NORMAL,255
streetlight-node-01,3279,200,0,10.97,0.696,7.879,0.0,NORMAL,255
streetlight-node-01,3361,199,0,11.16,0.681,7.7,0.0,NORMAL,255
streetlight-node-01,3443,200,0,11.02,0.728,8.309,0.0,NORMAL,255
streetlight-node-01,3525,200,0,11.39,0.744,8.49,0.0,NORMAL,255
streetlight-node-01,3607,200,0,11.29,0.696,7.743,0.0,NORMAL,255
streetlight-node-01,3689,202,0,11.8,0.694,7.849,0.0,NORMAL,255
streetlight-node-01,3771,203,0,11.36,0.736,8.4,0.0,NORMAL,255
streetlight-node-01,3853,203,0,11.31,0.704,8.021,0.0,NORMAL,255
streetlight-node-01,3935,203,0,11.67,0.733,8.226,0.0,NORMAL,255
streetlight-node-01,4017,203,0,11.61,0.686,7.76,0.0,NORMAL,255
streetlight-node-01,4099,203,0,11.6,0.718,8.189,0.0,NORMAL,255
streetlight-node-01,4181,204,0,11.76,0.718,8.083,0.0,NORMAL,255
streetlight-node-01,4263,203,0,11.54,0.725,8.19,0.0,NORMAL,255
streetlight-node-01,4345,204,0,11.67,0.712,8.076,0.0,NORMAL,255
streetlight-node-01,4427,203,0,11.11,0.702,7.905,0.0,NORMAL,255
streetlight-node-01,4509,203,0,11.76,0.707,8.033,0.0,NORMAL,255
streetlight-node-01,4591,204,0,10.86,0.696,7.913,0.0,NORMAL,255
streetlight-node-01,4673,203,0,11.8,0.731,8.339,0.0,NORMAL,255
streetlight-node-01,4755,204,0,11.79,0.712,8.111,0.0,NORMAL,255
streetlight-node-01,4837,203,0,11.39,0.707,8.051,0.0,NORMAL,255
streetlight-node-01,4919,204,0,11.58,0.683,7.73,0.0,NORMAL,255
streetlight-node-01,5002,204,0,11.62,0.71,8.133,0.0,NORMAL,255
streetlight-node-01,5084,203,0,11.88,0.694,7.9,0.0,NORMAL,255
